2514.0;256.0;359.0;en;33.0;CA;FFFFFF;15164.0;Asia/Tokyo;32400.0;3068.0
406.0;48683.0;20284.0;en;106.0;"United States";FFFFFF;135.0;"Eastern Time (US & Canada)";-14400.0;1757.0
19.0;795.0;102.0;en;36.0;"Boston, MA";C0DEED;83889.0;"Eastern Time (US & Canada)";-14400.0;2445.0
31200.0;3214.0;4247.0;de;14.0;"i been here all night";FFFFFF;16623.0;Alaska;-28800.0;1612.0
60712.0;464.0;1174.0;en;73.0;Canada;0.0;48611.0;"Pacific Time (US & Canada)";-25200.0;3020.0
1172.0;6495.0;4538.0;en;234.0;Ithilien;D3D2CF;255308.0;Alaska;-28800.0;3112.0
18281.0;434.0;302.0;de;55.0;"Honeymoon ãve.";C0DEED;3557.0;"Pacific Time (US & Canada)";-25200.0;350.0
64.0;417.0;2370.0;es;55.0;"Barquisimeto, Venezuela";0.0;52836.0;Caracas;-14400.0;2644.0
22775.0;14868.0;2116.0;en;94.0;"  ";0.0;111.0;"Eastern Time (US & Canada)";-14400.0;965.0
4123.0;268.0;729.0;en;7.0;"the loli dungeon";0.0;1530.0;"Pacific Time (US & Canada)";-25200.0;665.0
16279.0;619.0;247.0;en;19.0;"Somewhere in Europe";0.0;19830.0;Skopje;7200.0;2085.0
2184.0;551.0;524.0;en;25.0;"North West, England";0.0;17024.0;London;3600.0;1992.0
3442.0;1786.0;363.0;en;2.0;"♡ 1/1 :) 4/9/2017 ♡";0.0;2090.0;"Pacific Time (US & Canada)";-25200.0;179.0
2214.0;3367.0;3598.0;en;51.0;"Molalla, Oregon";0.0;18290.0;"Pacific Time (US & Canada)";-25200.0;3355.0
9836.0;446.0;312.0;en;3.0;"@Viks yard ";0.0;28601.0;London;3600.0;2057.0
35.0;3963.0;364.0;pt;11.0;"ev • em • jt • lp • sg";0.0;59382.0;Brasilia;-10800.0;2392.0
7626.0;739.0;536.0;en;1.0;"Edina, MN";C0DEED;17099.0;"Central Time (US & Canada)";-18000.0;1180.0
212.0;9141.0;5968.0;en;200.0;"Seattle, WA";DFDFDF;32347.0;"Pacific Time (US & Canada)";-25200.0;2806.0
1354.0;1060.0;98.0;fr;4.0;"from Libreville with love";0.0;13238.0;"West Central Africa";3600.0;2527.0
1561.0;28473.0;1420.0;en;39.0;"  ";0.0;210.0;"Pacific Time (US & Canada)";-25200.0;378.0
783.0;2253.0;3754.0;en;3.0;"United States";C0DEED;12882.0;"Pacific Time (US & Canada)";-25200.0;562.0
783.0;2253.0;3754.0;en;3.0;"United States";C0DEED;12882.0;"Pacific Time (US & Canada)";-25200.0;562.0
783.0;2253.0;3754.0;en;3.0;"United States";C0DEED;12882.0;"Pacific Time (US & Canada)";-25200.0;562.0
783.0;2253.0;3754.0;en;3.0;"United States";C0DEED;12882.0;"Pacific Time (US & Canada)";-25200.0;562.0
7.0;1886.0;5.0;es;52.0;"Buenos Aires";C0DEED;393145.0;"Buenos Aires";-10800.0;1994.0
8398.0;835.0;1035.0;en;37.0;Manchester;0.0;88809.0;London;3600.0;2924.0
18507.0;1606.0;5000.0;en;3.0;"Alexandria, Egypt";FFFFFF;15234.0;Athens;10800.0;1766.0
164115.0;2713.0;506.0;en;445.0;Southeast;0.0;189336.0;"Eastern Time (US & Canada)";-14400.0;3096.0
4103.0;404.0;821.0;fr;1.0;"Manoir des Malefoy";C0DEED;16100.0;"Pacific Time (US & Canada)";-25200.0;378.0
20644.0;3403.0;3208.0;en;4.0;"Amy // 2.12.16  ✨";0.0;11354.0;"Pacific Time (US & Canada)";-25200.0;574.0
1615.0;68.0;60.0;es;0.0;"San Luis Potosí, México";0.0;1581.0;"Central Time (US & Canada)";-18000.0;2069.0
5506.0;247.0;249.0;en;7.0;" SAMCRO";FFFFFF;59934.0;Casablanca;0.0;2695.0
