75,19,67,9,30
24,3,30,37,18
31,96,23,81,54
79,13,36,55,2
59,77,69,36,55
86,80,35,16,59
88,56,30,9,89
16,70,57,24,87
83,76,85,23,62
97,25,29,70,30
27,78,20,27,2
1,89,3,76,42
99,49,47,65,21
85,25,23,5,88
55,37,9,98,99
55,75,46,66,1
91,7,97,56,31
78,3,5,59,23
55,66,79,39,60
70,76,87,99,10
10,81,1,41,86
94,48,7,39,49
12,21,72,71,13
58,46,39,53,8
40,71,42,52,10
89,11,58,79,18
93,18,35,45,92
93,16,33,11,82
67,95,11,25,3
71,24,70,71,50
21,43,53,31,47
87,74,94,24,92
93,81,9,52,33
68,67,30,74,36
72,73,49,67,53
100,4,89,83,95
52,53,48,17,6
54,39,64,28,94
30,77,53,35,77
86,72,48,89,4
47,52,9,75,36
26,74,54,6,3
85,77,72,98,9
36,91,48,83,62
67,17,71,71,40
30,80,20,96,81
99,7,77,48,92
57,11,89,60,47
29,42,29,70,4
44,26,4,18,21
59,4,4,50,27
85,7,55,47,99
92,73,66,9,96
86,26,33,20,95
1,50,18,53,63
65,83,90,6,58
27,21,73,92,84
96,1,11,52,32
88,71,58,41,7
68,55,54,57,36
57,99,85,76,97
68,30,45,94,16
3,86,76,98,24
86,48,40,48,83
23,97,75,28,24
6,77,94,74,77
31,72,17,74,49
94,38,95,60,90
50,26,11,3,68
42,90,4,100,65
97,79,6,46,81
14,42,94,31,80
100,97,9,63,47
28,55,19,81,28
2,15,18,17,77
52,44,95,95,78
53,1,53,100,48
93,37,5,4,65
4,80,63,58,14
4,34,76,39,8
21,2,7,29,6
45,37,25,72,56
48,37,78,39,41
19,91,38,22,98
91,60,49,79,64
10,87,61,70,87
62,13,40,70,30
69,31,27,97,77
36,92,57,49,30
73,71,12,8,50
66,90,63,80,70
9,46,63,54,65
46,15,79,54,62
40,63,34,7,41
3,50,95,55,45
53,62,33,93,74
42,29,9,37,85
93,87,70,44,19
78,98,40,84,23
54,21,30,13,41
72,86,7,72,77
41,51,36,62,49
76,3,87,22,6
96,92,86,27,67
13,81,20,37,21
12,83,24,70,99
19,28,6,48,24
8,21,41,56,37
12,93,59,35,77
95,29,7,14,27
63,75,28,78,56
92,70,7,34,24
23,84,42,92,43
6,57,2,93,82
46,17,1,13,79
